gdoc.py:25,20:16:08:get_last_revision:45:br5GSQ -- code not 200
get_file:25,20:16:08:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:08:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:08:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:09:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:09:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ/revisions/load?id=1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:16:09:download_details:73:br5GSQ -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
    assert response.status_code == 200
AssertionError
get_file:25,20:16:09:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:09:async_init:26:br5GSQ -- async init called
get_file:25,20:16:09:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:09:get_last_revision:55:br5GSQ -- last revision id 1
gdoc.py:25,20:16:09:async_init:35:br5GSQ -- after await 1
connecti:25,20:16:09:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:09:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:09:async_init:26:br5GSQ -- async init called
get_file:25,20:16:09:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:09:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1D48Gz6hmPkE6sATNqYoA3P3Hdjtq1y2zHRjrh1kH64I/revisions/load?id=1D48Gz6hmPkE6sATNqYoA3P3Hdjtq1y2zHRjrh1kH64I&start=1&end=1 HTTP/1.1" 200 None
gdoc.py:25,20:16:10:get_last_revision:55:br5GSQ -- last revision id 3
gdoc.py:25,20:16:10:async_init:35:br5GSQ -- after await 3
connecti:25,20:16:10:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:10:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:10:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:10:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:10:async_init:26:br5GSQ -- async init called
get_file:25,20:16:10:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:10:getRevision:164:br5GSQ -- getRevision looping
connecti:25,20:16:10:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1cctIQ_TyhvRFgFVkzjwcfDL1w0i4L2lF-78_WM7Hy6A/revisions/load?id=1cctIQ_TyhvRFgFVkzjwcfDL1w0i4L2lF-78_WM7Hy6A&start=1&end=3 HTTP/1.1" 200 None
gdoc.py:25,20:16:10:async_init:26:br5GSQ -- async init called
gdoc.py:25,20:16:10:get_last_revision:45:br5GSQ -- code not 200
gdoc.py:25,20:16:10:get_last_revision:45:br5GSQ -- code not 200
get_file:25,20:16:10:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:10:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:11:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:11:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:11:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:11:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:11:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:11:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:11:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:11:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ/revisions/load?id=1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:16:11:download_details:73:br5GSQ -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
    assert response.status_code == 200
AssertionError
get_file:25,20:16:11:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:11:async_init:26:br5GSQ -- async init called
get_file:25,20:16:12:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:12:get_last_revision:55:br5GSQ -- last revision id 908
gdoc.py:25,20:16:12:async_init:35:br5GSQ -- after await 908
connecti:25,20:16:12:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
connecti:25,20:16:12:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/186ge00t4G7kcx1QdCIHxRhTnZfzpSTGDgfAXkdbD_Ig/revisions/load?id=186ge00t4G7kcx1QdCIHxRhTnZfzpSTGDgfAXkdbD_Ig&start=1&end=908 HTTP/1.1" 200 None
get_file:25,20:16:12:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:12:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:12:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:12:async_init:26:br5GSQ -- async init called
get_file:25,20:16:12:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:12:async_init:26:br5GSQ -- async init called
get_file:25,20:16:12:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:13:get_last_revision:55:br5GSQ -- last revision id 2586
gdoc.py:25,20:16:13:async_init:35:br5GSQ -- after await 2586
connecti:25,20:16:13:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:16:13:get_last_revision:55:br5GSQ -- last revision id 9391
gdoc.py:25,20:16:13:async_init:35:br5GSQ -- after await 9391
connecti:25,20:16:13:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:13:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:13:async_init:26:br5GSQ -- async init called
get_file:25,20:16:13:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
