get_file:25,20:13:11:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:11:get_last_revision:45:8tAM3A -- code not 200
get_file:25,20:13:12:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:12:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:12:async_init:26:8tAM3A -- async init called
gdoc.py:25,20:13:12:get_last_revision:55:8tAM3A -- last revision id 546
gdoc.py:25,20:13:12:async_init:35:8tAM3A -- after await 546
connecti:25,20:13:12:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:12:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:12:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:12:get_last_revision:55:8tAM3A -- last revision id 626
gdoc.py:25,20:13:12:async_init:35:8tAM3A -- after await 626
connecti:25,20:13:12:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:13:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:13:getRevision:178:8tAM3A -- not google doc
connecti:25,20:13:13:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1NpTHMCkLa6lHL9Ok8a9hejyXihpujcQpVgSa7JNBP6s/revisions/load?id=1NpTHMCkLa6lHL9Ok8a9hejyXihpujcQpVgSa7JNBP6s&start=1&end=546 HTTP/1.1" 200 None
get_file:25,20:13:13:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:13:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1jRrZTHn-oge2sTqxli8Um026xuniXAeezLZn4B2zVSg/revisions/load?id=1jRrZTHn-oge2sTqxli8Um026xuniXAeezLZn4B2zVSg&start=1&end=626 HTTP/1.1" 200 None
get_file:25,20:13:13:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:13:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:13:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:13:async_init:26:8tAM3A -- async init called
get_file:25,20:13:13:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:14:get_last_revision:55:8tAM3A -- last revision id 1
gdoc.py:25,20:13:14:async_init:35:8tAM3A -- after await 1
connecti:25,20:13:14:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:14:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:14:async_init:26:8tAM3A -- async init called
get_file:25,20:13:14:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:14:get_last_revision:55:8tAM3A -- last revision id 3
gdoc.py:25,20:13:14:async_init:35:8tAM3A -- after await 3
connecti:25,20:13:14:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
connecti:25,20:13:14:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1D48Gz6hmPkE6sATNqYoA3P3Hdjtq1y2zHRjrh1kH64I/revisions/load?id=1D48Gz6hmPkE6sATNqYoA3P3Hdjtq1y2zHRjrh1kH64I&start=1&end=1 HTTP/1.1" 200 None
get_file:25,20:13:15:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:15:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1cctIQ_TyhvRFgFVkzjwcfDL1w0i4L2lF-78_WM7Hy6A/revisions/load?id=1cctIQ_TyhvRFgFVkzjwcfDL1w0i4L2lF-78_WM7Hy6A&start=1&end=3 HTTP/1.1" 200 None
get_file:25,20:13:15:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:15:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:15:async_init:26:8tAM3A -- async init called
gdoc.py:25,20:13:15:get_last_revision:45:8tAM3A -- code not 200
gdoc.py:25,20:13:15:async_init:35:8tAM3A -- after await 1
get_file:25,20:13:15:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:15:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:13:15:get_last_revision:45:8tAM3A -- code not 200
get_file:25,20:13:15:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:15:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:15:async_init:26:8tAM3A -- async init called
get_file:25,20:13:15:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:15:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:15:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:15:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:16:get_last_revision:45:8tAM3A -- code not 200
connecti:25,20:13:16:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ/revisions/load?id=1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:13:16:download_details:73:8tAM3A -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
    assert response.status_code == 200
AssertionError
get_file:25,20:13:16:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:16:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:16:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:17:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:17:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:17:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:17:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:17:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
