get_file:26,13:10:05:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:05:getRevision:178:q3Xr7Q -- not google doc
gdoc.py:26,13:10:05:get_last_revision:61:q3Xr7Q -- last revision id 1
gdoc.py:26,13:10:05:async_init:39:q3Xr7Q -- after await 1
connecti:26,13:10:05:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:05:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:05:get_last_revision:61:q3Xr7Q -- last revision id 3
gdoc.py:26,13:10:05:async_init:39:q3Xr7Q -- after await 3
connecti:26,13:10:05:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:05:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:05:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1D48Gz6hmPkE6sATNqYoA3P3Hdjtq1y2zHRjrh1kH64I/revisions/load?id=1D48Gz6hmPkE6sATNqYoA3P3Hdjtq1y2zHRjrh1kH64I&start=1&end=1 HTTP/1.1" 200 None
connecti:26,13:10:05:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1cctIQ_TyhvRFgFVkzjwcfDL1w0i4L2lF-78_WM7Hy6A/revisions/load?id=1cctIQ_TyhvRFgFVkzjwcfDL1w0i4L2lF-78_WM7Hy6A&start=1&end=3 HTTP/1.1" 200 None
get_file:26,13:10:06:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:06:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:06:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:06:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:06:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:06:async_init:30:q3Xr7Q -- async init called
gdoc.py:26,13:10:06:get_last_revision:61:q3Xr7Q -- last revision id 908
gdoc.py:26,13:10:06:async_init:39:q3Xr7Q -- after await 908
connecti:26,13:10:06:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
connecti:26,13:10:07:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/186ge00t4G7kcx1QdCIHxRhTnZfzpSTGDgfAXkdbD_Ig/revisions/load?id=186ge00t4G7kcx1QdCIHxRhTnZfzpSTGDgfAXkdbD_Ig&start=1&end=908 HTTP/1.1" 200 None
get_file:26,13:10:07:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:07:getRevision:167:q3Xr7Q -- getRevision looping
