,0
321,2020-03-07 18:33:50.713
322,2020-03-07 18:52:25.723
323,2020-03-08 17:08:51.965
324,2020-03-08 17:09:00.298
325,2020-03-08 17:11:01.944
326,2020-03-08 17:13:03.311
327,2020-03-08 17:15:00.170
328,2020-03-08 17:17:05.306
329,2020-03-08 17:19:00.284
330,2020-03-08 17:21:00.090
331,2020-03-08 17:23:20.078
332,2020-03-08 17:25:02.186
333,2020-03-08 17:28:27.292
334,2020-02-25 15:01:38.567
335,2020-02-27 14:27:53.145
336,2020-02-27 14:33:46.833
337,2020-02-27 14:35:30.026
338,2020-02-27 14:37:05.324
339,2020-02-27 14:39:10.516
340,2020-02-27 14:42:06.611
341,2020-02-27 14:43:04.380
342,2020-02-27 14:45:06.754
343,2020-02-27 14:47:36.382
344,2020-02-27 14:49:07.728
345,2020-02-27 14:52:05.704
346,2020-02-27 14:54:41.337
347,2020-02-27 14:56:14.698
348,2020-02-27 14:57:36.816
349,2020-02-27 14:59:02.075
350,2020-02-29 09:57:02.128
351,2020-02-29 09:59:27.694
352,2020-03-01 07:14:00.844
353,2020-03-01 10:47:58.517
354,2020-03-01 10:49:03.063
355,2020-03-01 10:51:06.000
356,2020-03-01 10:53:02.032
357,2020-03-01 10:55:05.189
358,2020-03-01 11:00:16.350
359,2020-03-01 11:01:08.221
360,2020-03-01 11:06:35.189
361,2020-03-01 11:09:47.116
362,2020-03-01 11:13:09.954
363,2020-03-02 09:51:37.490
364,2020-03-02 09:53:39.813
365,2020-03-02 09:56:02.804
366,2020-03-02 09:58:04.646
367,2020-03-02 13:45:12.896
368,2020-03-02 13:47:00.123
369,2020-03-02 13:50:05.589
370,2020-03-02 13:51:02.284
371,2020-03-02 13:53:01.106
372,2020-03-02 13:55:00.404
373,2020-03-02 13:57:00.860
374,2020-03-02 13:59:01.436
375,2020-03-02 14:01:00.463
376,2020-03-02 14:03:00.150
377,2020-03-02 14:05:00.986
378,2020-03-02 14:07:20.105
379,2020-03-02 14:09:06.260
380,2020-03-02 14:11:01.768
381,2020-03-02 14:13:29.191
382,2020-03-02 14:15:07.691
383,2020-03-02 14:17:04.448
384,2020-03-02 14:19:03.567
385,2020-03-02 14:22:46.162
386,2020-03-02 14:24:51.468
387,2020-03-02 14:25:00.998
388,2020-03-02 14:27:54.074
389,2018-11-27 09:11:46.357
390,2018-11-27 09:13:00.112
391,2018-11-27 09:15:03.887
392,2018-11-27 09:18:47.827
393,2018-11-27 09:20:08.617
394,2018-11-27 09:22:38.562
395,2018-11-27 09:23:32.930
396,2018-11-27 09:36:26.789
397,2018-11-27 09:46:18.397
398,2018-11-29 09:47:39.913
399,2018-11-29 09:49:00.044
400,2018-11-29 09:51:00.196
401,2018-11-29 09:53:16.259
402,2018-11-29 09:55:00.459
403,2018-11-29 12:52:25.511
404,2018-11-29 12:53:04.116
405,2018-11-29 12:55:27.530
406,2018-11-29 12:57:29.869
407,2018-11-29 12:59:35.902
408,2018-11-29 13:01:57.008
409,2018-11-29 13:03:49.313
410,2018-11-29 13:07:26.104
411,2018-11-29 13:09:02.664
412,2018-11-29 13:11:15.969
413,2018-11-29 13:13:26.028
414,2018-11-29 13:15:46.994
415,2018-11-29 13:17:04.716
416,2018-11-29 13:19:00.146
417,2018-11-29 21:57:50.324
418,2018-11-29 21:59:57.108
419,2018-11-29 22:01:51.338
420,2018-11-29 22:03:38.362
421,2018-11-29 22:06:29.256
422,2018-11-29 22:07:13.509
423,2018-11-29 22:09:00.580
424,2018-11-30 20:37:49.334
425,2018-12-01 13:08:51.986
426,2018-12-01 13:09:00.317
427,2018-12-01 13:12:36.782
428,2018-12-01 13:13:06.443
429,2018-12-01 13:15:04.836
430,2018-12-01 13:17:48.207
431,2018-12-01 13:20:27.436
432,2018-12-01 13:21:38.989
433,2018-12-01 13:23:01.493
434,2018-12-02 14:40:19.606
435,2018-12-02 14:41:54.761
436,2018-12-02 14:43:42.664
437,2018-12-02 21:15:39.573
438,2018-12-03 20:43:32.105
439,2018-12-03 20:49:56.722
440,2018-12-03 20:51:12.862
441,2018-12-03 20:53:00.032
442,2018-12-03 20:55:00.295
443,2018-12-03 20:57:05.094
444,2018-12-06 14:34:42.178
445,2018-12-06 14:38:02.603
446,2018-12-06 14:39:04.683
447,2018-12-06 14:42:41.087
448,2018-12-06 14:43:01.788
449,2018-12-06 14:45:12.287
450,2018-12-06 14:47:07.365
451,2018-12-06 19:32:43.831
452,2018-12-06 19:33:00.104
453,2018-12-06 19:35:00.346
454,2018-12-06 19:51:07.301
455,2018-12-07 07:08:30.237
456,2018-12-07 07:09:37.952
457,2018-12-07 07:11:04.716
458,2018-12-07 07:13:03.019
459,2018-12-07 07:15:03.648
460,2018-12-07 07:18:17.354
461,2018-12-07 07:19:01.990
462,2018-12-07 07:22:09.812
463,2018-12-07 07:23:41.307
464,2018-12-07 07:25:03.959
465,2018-12-07 07:27:37.150
466,2018-12-07 07:33:30.114
467,2018-12-07 07:37:38.558
468,2018-12-07 07:41:55.234
469,2018-12-08 21:35:59.706
470,2018-12-08 21:39:29.603
471,2018-12-08 21:41:30.662
472,2018-12-08 21:47:18.436
473,2018-12-08 21:49:06.130
474,2018-12-08 21:52:56.841
475,2018-12-08 21:53:48.804
476,2018-12-08 21:55:01.223
477,2018-12-08 21:58:10.345
478,2018-12-08 21:59:08.535
479,2018-12-08 22:01:00.124
480,2018-12-08 22:12:25.021
481,2018-12-08 22:13:37.210
482,2018-12-08 22:16:06.277
483,2018-12-08 22:17:52.701
484,2018-12-08 22:19:02.331
485,2018-12-08 22:21:03.839
486,2018-12-08 22:23:11.780
487,2018-12-08 22:26:10.151
488,2018-12-08 22:27:11.852
489,2018-12-08 22:30:14.237
490,2018-12-08 22:31:00.735
491,2018-12-08 22:36:21.145
492,2018-12-08 22:37:00.403
493,2018-12-08 22:47:32.317
494,2018-12-08 22:51:37.362
495,2018-12-08 22:54:51.587
496,2018-12-08 22:55:03.156
497,2018-12-09 13:21:40.064
498,2018-12-09 13:25:02.369
499,2018-12-09 22:21:43.042
500,2018-12-09 22:26:57.820
501,2018-12-09 22:27:00.665
502,2018-12-09 22:30:39.302
503,2018-12-09 22:31:00.605
504,2018-12-09 22:33:00.266
505,2018-12-10 18:06:27.718
506,2018-12-10 18:08:07.952
507,2018-12-10 18:09:00.275
508,2018-12-10 18:11:36.577
509,2018-12-10 18:13:55.798
510,2018-12-10 18:15:22.433
511,2018-12-10 18:19:09.726
512,2018-12-10 18:21:00.883
513,2018-12-10 18:23:22.714
514,2018-12-10 18:25:01.378
515,2018-12-10 18:31:48.061
516,2018-12-10 22:58:14.798
517,2018-12-10 22:59:50.603
518,2018-12-10 23:01:09.048
519,2018-12-10 23:03:05.928
520,2018-12-10 23:05:01.149
521,2018-12-10 23:07:12.716
522,2018-12-10 23:09:56.710
523,2018-12-10 23:11:00.572
524,2018-12-10 23:13:17.683
525,2018-12-11 08:01:26.216
526,2018-12-12 13:57:44.981
527,2018-12-12 13:59:31.973
528,2018-12-12 14:01:02.011
529,2018-12-12 14:42:11.349
530,2018-12-12 14:43:00.173
531,2018-12-12 14:45:04.958
532,2018-12-12 14:47:35.303
533,2018-12-12 14:51:09.515
534,2018-12-12 14:53:01.253
535,2018-12-12 14:56:51.123
536,2018-12-12 14:57:19.028
537,2018-12-13 02:02:20.837
538,2018-12-13 20:28:59.293
539,2018-12-13 20:29:00.972
540,2018-12-13 20:31:30.876
541,2018-12-13 20:33:05.645
542,2018-12-13 20:36:35.988
543,2018-12-13 20:37:10.899
544,2018-12-13 20:39:42.931
545,2018-12-13 20:41:13.771
546,2018-12-13 20:43:06.484
547,2018-12-13 20:46:24.226
548,2018-12-13 20:47:00.160
549,2018-12-13 20:49:24.081
550,2018-12-15 11:19:11.024
551,2018-12-15 11:29:00.289
552,2018-12-15 11:31:04.546
553,2018-12-15 11:33:41.350
554,2018-12-15 13:27:35.835
555,2018-12-15 16:32:51.610
556,2018-12-15 16:33:00.379
557,2018-12-15 16:36:55.164
558,2018-12-15 16:39:29.131
559,2018-12-15 16:42:35.805
560,2018-12-15 16:43:38.786
561,2018-12-15 16:46:11.087
562,2018-12-15 16:47:33.293
563,2018-12-15 16:49:34.350
564,2018-12-15 16:51:01.738
565,2018-12-15 16:53:14.893
566,2018-12-15 16:55:35.225
567,2018-12-15 16:58:19.239
568,2018-12-15 16:59:12.655
569,2018-12-15 17:02:36.738
570,2018-12-15 17:05:14.530
571,2018-12-15 17:10:37.411
572,2018-12-15 17:11:10.069
573,2018-12-15 17:13:14.662
574,2018-12-15 17:17:08.787
575,2018-12-15 17:27:36.098
576,2018-12-15 17:31:37.804
577,2018-12-15 17:33:00.068
578,2018-12-15 17:35:18.361
579,2018-12-15 17:37:10.429
580,2018-12-15 17:40:06.777
581,2018-12-15 17:42:32.743
582,2018-12-16 10:10:10.871
583,2018-12-16 10:11:35.043
584,2018-12-16 10:13:02.370
585,2018-12-16 10:15:02.790
586,2018-12-16 10:17:04.777
587,2018-12-16 10:19:00.350
588,2018-12-16 10:22:33.679
589,2018-12-16 10:46:34.815
590,2018-12-16 10:57:03.530
591,2018-12-16 11:07:22.298
592,2018-12-16 19:10:46.198
593,2018-12-16 19:11:53.048
594,2018-12-16 19:13:20.283
595,2018-12-16 19:15:02.885
596,2018-12-16 19:17:01.398
597,2018-12-16 19:19:35.130
598,2018-12-16 19:42:51.370
599,2018-12-16 19:43:00.065
600,2018-12-16 19:45:00.287
601,2018-12-16 19:47:00.767
602,2018-12-16 19:49:01.199
603,2018-12-16 19:51:24.689
604,2018-12-16 19:54:38.636
605,2018-12-16 19:59:30.224
606,2018-12-16 20:01:00.292
607,2018-12-16 20:03:13.034
608,2018-12-16 20:05:04.898
609,2018-12-16 20:07:07.754
610,2018-12-16 20:09:00.655
611,2018-12-16 20:11:14.407
612,2018-12-16 20:14:04.663
613,2018-12-16 20:15:05.815
614,2018-12-16 20:17:04.998
615,2018-12-16 20:19:01.296
616,2018-12-16 20:21:22.039
617,2018-12-16 20:27:07.796
618,2018-12-16 20:29:00.561
619,2018-12-16 20:33:26.107
620,2018-12-16 20:51:59.802
621,2018-12-16 20:53:00.155
622,2018-12-16 20:55:33.536
623,2018-12-16 20:57:35.487
624,2018-12-16 21:01:07.953
625,2018-12-16 21:16:21.567
626,2018-12-16 21:17:16.104
627,2018-12-16 21:19:00.134
628,2018-12-16 21:21:12.176
629,2018-12-16 21:23:14.021
630,2018-12-16 21:25:22.734
631,2018-12-16 21:27:44.153
